ID,sentiment
22622,0
10162,1
17468,0
42579,0
701,0
13418,0
50674,1
33704,1
21242,0
40345,0
38152,1
8665,1
36422,0
19016,0
52991,1
2428,1
24858,1
1661,0
1635,1
24747,0
39203,0
35002,1
49441,0
42032,1
25252,1
11797,1
30052,1
17012,1
13157,1
43400,0
56206,1
21955,0
12852,0
22487,1
25537,1
38131,1
29757,0
15141,0
30035,0
53160,0
11442,1
20531,0
20865,1
2829,1
54279,1
55323,1
2035,1
10062,0
16442,1
21657,0
10278,1
15558,1
6684,0
17911,0
7027,1
2013,1
5867,0
3437,0
23497,0
44778,1
51289,1
27697,1
50507,1
21510,0
14677,1
33036,1
52672,1
15313,0
28727,0
29128,0
2032,1
47141,0
51838,0
55554,0
39743,1
30699,1
12066,1
47544,1
25921,0
7134,1
25904,0
43869,0
57625,1
36934,1
12325,0
18853,0
11550,1
20854,0
52190,1
15498,1
21661,1
15856,1
6193,0
19087,0
50560,1
30750,1
50754,0
51074,0
30849,0
41848,1
28224,0
34987,1
19080,1
29123,1
3587,0
23523,1
4743,0
26511,0
39826,0
48957,1
51818,0
3142,1
22759,1
19755,0
33852,1
35899,1
36567,1
5904,0
30036,1
30824,1
42633,0
10649,0
12208,0
19638,0
43852,0
14572,0
52513,1
16258,0
36477,1
56277,1
44079,1
54556,0
4267,0
29713,1
37262,0
33734,0
339,1
17293,1
17245,1
45598,0
41215,1
34332,0
26909,1
39632,1
4911,0
43431,1
2306,1
7461,0
47164,1
34819,1
44723,0
22604,1
11282,0
39796,1
57109,0
32208,1
27622,0
11987,1
6029,0
57224,0
8114,1
12916,0
5563,0
43040,0
41912,0
14519,0
14866,1
45120,1
16588,0
58223,1
632,1
52681,1
4963,0
42621,0
41892,0
12819,1
58329,1
56447,1
26870,1
45118,1
7765,1
36687,0
42599,1
15255,0
22652,0
17726,0
36656,0
30716,1
49960,0
53284,0
39147,0
20881,0
2772,1
44956,0
30584,0
40162,0
40501,1
19084,0
32731,0
28157,1
15747,1
45837,1
36699,0
24674,1
17963,0
30386,0
21484,0
48433,1
35898,1
37784,0
41049,0
37779,0
31848,0
29460,1
44520,1
18783,0
24195,1
25180,1
33003,0
17923,1
32562,0
258,1
27136,1
23788,0
35596,1
20080,0
34249,1
23378,1
10613,1
51794,0
55931,0
34602,1
9429,1
4546,0
50604,1
52134,0
51546,1
21266,0
31751,0
53275,0
7114,1
50086,0
50561,0
20807,1
36297,1
54144,0
13849,1
52406,1
11135,0
50067,1
18477,0
52128,1
29190,0
30367,0
4208,0
12965,1
2677,1
41769,0
25016,0
